# =================================================
# Logitech stuff
# =================================================

logitech_num_DG                                  Multiwiniáns seleccionados:
tutorial_25                                      ¡Los primeros darwinianos han vuelto a nacer! ¡Qué grandes noticias!
tutorial_26                                      Estos seres eran dueños del planeta antes de que los Virus lo invadieran. Y es a esta gente a la que vamos a ayudar a reconquistar su mundo.

tutorial_28_kbd                                  Mantén pulsado [KEYGESTURESTASKMANAGERDISPLAY] y traza este gesto para crear otra ESCUADRA.
tutorial_28_xin                                  Abre el Administrador de Tareas y traza este gesto para crear otra ESCUADRA.
tutorial_29                                      Ahora puedes comenzar con tu ESCUADRA más cerca de la acción, situándola en las cercanías de la Torre de Control que has capturado.

tutorial_30                                      Bien, siguiente tarea.
tutorial_31                                      Hay más criaturas diabólicas en esta dirección, incluyendo un Ciempiés bastante desagradable.
tutorial_31b                                     Quiero que las elimines utilizando Escuadras, y que después recojas sus espíritus para convertirlos en darwinianos.
tutorial_32                                      Ahora conduce a tu Escuadra para atacar la Infección vírica que te acabo de mostrar.
tutorial_33                                      Un trabajo magnífico. Estoy muy impresionado.
tutorial_33b                                     Ahora tenemos que utilizar a un ingeniero para reprogramar esta Incubadora, y recoger las Almas cercanas.
tutorial_34_kbd                                  Conduce al ingeniero hasta un punto cercano a la nueva Incubadora para que pueda comenzar a Reprogramarla. Pulsa con el Botón Izquierdo para mover a un Ingeniero.
tutorial_34_xin                                  Conduce al ingeniero hasta un punto cercano a la nueva Incubadora para que pueda comenzar a Reprogramarla.
tutorial_35                                      Ese Ingeniero recogerá ahora las Almas de los alrededores y las colocará en la Incubadora, creando más darwinianos.
tutorial_35b                                     Déjame mostrarte cómo conducir a los darwinianos existentes.
tutorial_35c                                     Los darwinianos no se pueden controlar directamente, pero podemos darles órdenes utilizando a un Oficial.
tutorial_351                                     Para crear a un Oficial, traza este gesto.
tutorial_36_kbd                                  Haz clic en un darwiniano de los existentes para ascenderlo a Oficial.
tutorial_36_xin                                  Selecciona a uno de los darwinianos existentes para ascenderlo a Oficial.
tutorial_37                                      La función más útil de los Oficiales es la de poder dar órdenes a los darwinianos de los alrededores.
tutorial_37_kbd                                  Los oficiales puede moverse pulsando con el Botón Izquierdo, pero su función más útil es la de dar órdenes a los darwinianos de los alrededores.
tutorial_37b_kbd                                 Puedes pulsar con el botón derecho en algún lugar del suelo para ordenar a todos los darwinianos de los alrededores que se desplacen hasta ese punto.
tutorial_38                                      El objetivo final es conseguir conectar a la red esta Refinería para que podamos comenzar a producir Primitivas.
tutorial_38b                                     La Refinería necesita que haya darwinianos en su base para poder funcionar.
tutorial_38c                                     Sin embargo los darwinianos no pueden defenderse actualmente, así que primero tendrás que despejar el área utilizando Escuadras.
tutorial_38d                                     Una vez que lo hayas hecho, utiliza a los Oficiales para ordenar a los darwinianos que vayan a la Refinería y comenzarán a hacerla funcionar.
tutorial_38e                                     No olvides utilizar Ingenieros para recoger las Almas de los Virus y darwinianos muertos.
tutorial_39_kbd                                  Si te atascas en algún momento, puedes pulsar [KEYSEPULVEDAHELP] e intentaré ayudarte. ¡Buena suerte!

tutorial_40                                      Ya tienes una Escuadra ejecutándose, pero no la controlas en este momento porque no es la unidad seleccionada.
tutorial_40b_kbd                                 Para seleccionar a tu Escuadra, mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y utiliza la tecla TAB hasta que haya sido marcada. También puedes pulsar directamente en ella.

tutorial_41_kbd                                  Para convocar a otro INGENIERO, mantén pulsado [KEYGESTURESTASKMANAGERDISPLAY] para acceder al Administrador de Tareas y traza este gesto.
tutorial_41_xin                                  Para convocar a otro INGENIERO, abre el Administrador de Tareas y traza este gesto.
tutorial_42                                      Ahora sitúa al Ingeniero cerca de una Escuadra o una Torre de Control.

tutorial_43                                      Ya tienes un Ingeniero ejecutándose, pero no está seleccionado en este momento.
tutorial_43b_kbd                                 Para seleccionar a tu Ingeniero, mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y utiliza la tecla TAB hasta que haya sido marcado. También puedes pulsar directamente en el Ingeniero.

tutorial_squaddeath                              Parece que tu ESCUADRA ha sido destruida. No te preocupes, podemos crear otra.
tutorial_engineerdeath                           Desgraciadamente tu INGENIERO ha sido destruido. Tendremos que crear otro.

tutorial_skipped_kbd                             Bien, te voy a dejar que sigas con esto. Recuerda que puedes pulsar la tecla [KEYSEPULVEDAHELP] en cualquier momento para pedir ayuda. ¡Buena suerte!
tutorial_skipped_xin                             Bien, te voy a dejar que sigas con esto. ¡Buena suerte!


# ================================================
# Pixel Mines
# ================================================

pixelmines_objective1                            Refinar 20 Primitivas
pixelmines_objective2                            Habilitar el Puerto Troncal del Taller

pixelmines_intro_1                               Todo este lugar es una instalación minera gigantesca, pero desgraciadamente ha sido invadida por este maldito Virus.
pixelmines_refinery_1                            Este edificio situado en el centro de las instalaciones es la Refinería. Convierte los Polígonos que se han extraído en Primitivas que pueden utilizarse más adelante para construir cosas.
pixelmines_refinery_1b                           También impulsa el sistema motor que mueve las carretillas por la vía.
pixelmines_refinery_2                            Esta Refinería requiere que haya darwinianos en los controles o de lo contrario resultará inútil. Tendrás que escoltar a algunos darwinianos de forma que lleguen hasta aquí sanos y salvos para que las instalaciones comiencen a moverse.
pixelmines_mines_1                               Hay cuatro minas subterráneas construidas en el lado del terreno, extrayendo cada una de ellas Polígonos en bruto de la ladera de la montaña.
pixelmines_mines_1b                              Generaciones de mineros darwinianos han trabajado estas canteras y se empiezan a notar los efectos en la ladera.
pixelmines_mines_2                               Los darwinianos extraerán los Polígonos desde lo más profundo de la cantera y los depositarán en las carretillas de la mina que van pasando de camino a la Refinería.
pixelmines_mines_3                               Tendremos que extraer al menos 20 Primitivas para poder construir algo importante.

pixelmines_yardport_1                            Una vez que los Primitivas han sido refinadas, es necesario transportarlas hasta el Taller de Construcción en donde pueden utilizarse para construir cosas.
pixelmines_yardport_2                            Conecta este Puerto Troncal a la red para que los Primitivas refinadas puedan ser transportadas.

pixelmines_progress_1                            Un gran trabajo, la Refinería está conectada a la red y el sistema motor funciona. Pero las carretillas de la mina están todavía vacías. Tenemos que conectar las propias Minas a la red para llenar las carretillas.
pixelmines_progress_2                            Hay cuatro minas subterráneas construidas en el lado del terreno. Cada una extrae Polígonos en bruto de la ladera de la montaña.


# =================================================
# Dialog strings
# =================================================

dialog_duplicate_key                             Duplicar clave de autorización
dialog_newlocationfail1                          Error al crear un Nuevo Lugar
dialog_newlocationfail2                          No puedes crear un nuevo lugar.\nPrimero tienes que crear un MOD en el menú principal\nantes de poder añadir lugares.

dialog_savelocationsfail1                        Error al Guardar
dialog_savelocationsfail2                        No puedes guardar los datos del lugar.\nPrimero tienes que crear un MOD en el menú principal\nantes de poder editar y guardar lugares.

dialog_mainmenu                                  Menú Principal
dialog_leavedarwinia                             Abandonar Darwinia
dialog_visitwebsite                              Visitar Sitio Web
dialog_close                                     Cerrar
dialog_apply                                     Aplicar
dialog_cancel                                    Cancelar
dialog_create                                    Crear
dialog_yes                                       Sí
dialog_no                                        No
dialog_ok                                        Aceptar

dialog_mods                                      Mods
dialog_currentmod                                Mod Actual
dialog_loadmod                                   Cargar Mod
dialog_unloadmod                                 Descargar Mod
dialog_createnewmod                              Crear Nuevo Mod

dialog_profile                                   Perfil
dialog_newprofile                                Crear Novo Perfil
dialog_currentprofilename                        Nome do Perfil Actual
dialog_loadprofile                               Cargar Perfil
dialog_name                                      Nome:
dialog_players                                   Xogadores
dialog_profile_loaded                            *U (cargada)

dialog_options                                   Opcións
dialog_high                                      Alto
dialog_medium                                    Medio
dialog_low                                       Baixo
dialog_upgrade                                   Necesito melloras
dialog_enabled                                   Habilitado
dialog_disabled                                  Deshabilitado

dialog_otheroptions                              Outras Opcións
dialog_storageoption                             Dispositivo
dialog_pdlcdisplay                               Contenido descargable
dialog_helpsystem                                Sistema de Axuda
dialog_controlhelpsystem                         Axuda do Mando de Control
dialog_bootloaders                               Cargadores de Arranque
dialog_christmas                                 Nadal
dialog_language                                  Idioma
dialog_difficulty                                Dificultad
dialog_standard_difficulty                       1 (Normal)
dialog_hard_difficulty                           10 (Difícil)
dialog_easy_difficulty                           Fácil
dialog_useportforwarding                         Enviando puerto
dialog_serverport                                Porto do servidor
dialog_clientport                                Porto do cliente
dialog_ambxonoff                                 amBX

dialog_inputoptions                              Opciones de Control
dialog_restoredefaults                           Restaurar Valores por Defecto
dialog_mousebuttons                              Botones del Ratón

dialog_soundoptions                              Opcións de Sonido
dialog_unavailable                               no disponible
dialog_soundlibrary                              Biblioteca de Sonidos
dialog_directsound                               DirectSound
dialog_softwaresound                             Sonido por Software
dialog_mixfrequency                              Frecuencia de Mestura
dialog_11khz                                     11 Khz Calidade Baixa
dialog_22khz                                     22 Khz Calidade Media
dialog_44khz                                     44 Khz Calidade Alta
dialog_numchannels                               Nº Canais
dialog_8channels                                 8 Canais
dialog_16channels                                16 Canais
dialog_32channels                                32 Canais
dialog_64channels                                64 Canais
dialog_memoryusage                               Uso de Memoria
dialog_swapstereo                                Intercambiar en Estéreo
dialog_hw3dsound                                 Sonido en Hardware3d
dialog_realtimeeffects                           Efectos en Tempo Real
dialog_cpuusage                                  Uso de CPU
dialog_cpuusageunknown                           Uso de CPU descoñecido

dialog_graphicsoptions                           Opcións Gráficas
dialog_landscapedetail                           Detalles do Terreo
dialog_waterdetail                               Detalles do Auga
dialog_skydetail                                 Detalles do Ceo
dialog_buildingdetail                            Detalles de Edificios
dialog_entitydetail                              Detalles de Entidades
dialog_pixeleffect                               Efecto de Píxeles

dialog_screenoptions                             Opcións de Pantalla
dialog_refreshrate                               Frecuencia de Actualización
dialog_windowed                                  Modo Ventana
dialog_windowedmode                              (modo ventana)
dialog_resolution                                Resolución
dialog_colourdepth                               Profundidade de Color
dialog_colourdepth_16                            16 bits
dialog_colourdepth_24                            24 bits
dialog_colourdepth_32                            32 bits
dialog_zbufferdepth                              Profundidade do Z Buffer

dialog_locationmenu                              Menú de Lugares
dialog_leavelocation                             Abandonar Lugar
dialog_buyonline                                 Comprar en Liña

dialog_resetlocation                             Reiniciar Lugar
dialog_reset1                                    Estás seguro de que desexas
dialog_reset2                                    reiniciar este lugar?
dialog_reset3                                    Perderase o teu progreso
dialog_reset4                                    nesta illa e terás
dialog_reset5                                    que comezar de cero.

dialog_toolsmenu                                 Menú de Ferramentas

dialog_multiplefiles                             (múltiples archivos selecionados)

dialog_largemenus                                Menús Grandes
dialog_auto                                      Automático
dialog_autocam                                   Cámara Automática
dialog_multiwinia                                Multiwinia

dialog_unplugged1                                Controlador Desconectado
dialog_unplugged2                                Tu mando de control se ha desconectado. Por favor, conéctalo de nuevo para continuar.

dialog_skiptutorial_kbd                          Pulsa [KEYSKIPTUTORIAL] para saltar o tutorial
dialog_skiptutorial_xin                          Pulsa Back para saltar o tutorial

dialog_nohandicap                                Neste nivel non hai desventaja
dialog_instantspawnpointcapture                  Neste nivel os Puntos de Xeración captúranse instantáneamente

dialog_rocketunderattack                         Están atacando o teu Foguete!
dialog_wallbreach                                Hai unha brecha no Muro!
dialog_oneminutewarning                          Un minuto para a detonación da ADM!
dialog_pulsebombdestroyed                        ADM destruida!
dialog_oneminute                                 Queda un minuto!

dialog_playtime                                  Tiempo de juego

dialog_next                                      Seguinte
dialog_mapname                                   Nome de mapa

dialog_position_1                                Has pasado á Primeira Posición!
dialog_position_2                                Has pasado á Segunda Posición!
dialog_position_3                                Has pasado á Tercera Posición!
dialog_position_4                                Has pasado á Última Posición!

dialog_storage_title                             ¡Continuar sin guardar?
dialog_storage_text                              ¿Te gustaría continuar sin guardar?


# ================================================
# Location Names
# ================================================

location_garden                                  JARDÍN
location_containment                             CONTENCIÓN
location_mine                                    MINA
location_generator                               GENERADOR
location_yard                                    TALLER
location_escort                                  ESCOLTA
location_pattern_buffer                          BÚFER DE PATRONES
location_biosphere                               BIOSFERA
location_receiver                                RECEPTOR
location_temple                                  TEMPLO

location_unknown                                 lugar desconocido

location_prologue                                Prólogo

location_garden_multiwinia                       JardínAmurallado
location_containment_multiwinia                  Prisión
location_mine_multiwinia                         MinaDeCombustible
location_generator_multiwinia                    TierrasBaldías
location_yard_multiwinia                         Cementerio
location_escort_multiwinia                       RutaDeFuga
location_pattern_buffer_multiwinia               Hipocentro
location_biosphere_multiwinia                    RiesgoBiológico
location_receiver_multiwinia                     CampoDeEntrenamiento
location_temple_multiwinia                       TemploProfanado


# =================================================
# New Controls
# =================================================

newcontrols_prefsoption                          Modo de Control
newcontrols_prefs_gestures                       Basado en gestos
newcontrols_prefs_icons                          Basado en iconos

newcontrols_createnewtask                        CREAR NUEVA TAREA

newcontrols_create_squad                         Crear nueva Escuadra
newcontrols_create_engineer                      Crear nuevo Ingeniero
newcontrols_create_officer                       Crear nuevo Oficial
newcontrols_create_armour                        Crear nuevo Blindado

newcontrols_delete_squad                         Borrar esta Escuadra
newcontrols_delete_engineer                      Borrar este Ingeniero
newcontrols_delete_officer                       Borrar este Oficial
newcontrols_delete_armour                        Borrar este Blindado

newcontrols_select_squad                         Seleccionar esta Escuadra
newcontrols_select_engineer                      Seleccionar este Ingeniero
newcontrols_select_officer                       Seleccionar este Oficial
newcontrols_select_armour                        Seleccionar este Blindado

newcontrols_place_squad                          Desplegar esta Escuadra
newcontrols_place_engineer                       Desplegar este Ingeniero
newcontrols_place_officer                        Desplegar este Oficial
newcontrols_place_armour                         Desplegar este Blindado

newcontrols_select_grenade                       Seleccionar Granada
newcontrols_select_rocket                        Seleccionar Misil
newcontrols_select_airstrike                     Seleccionar Ataque Aéreo
newcontrols_select_controller                    Seleccionar Controlador

newcontrols_showresearch                         Mostrar pantalla de investigación
newcontrols_showtaskmanager                      Mostrar pantalla del administrador de tareas
newcontrols_showobjectives                       Mostrar pantalla de objetivos

newcontrols_research_darwinian                   Investigar el programa Darwiniano (proporciona un mejor armamento)
newcontrols_research_officer                     Investigar el programa Oficial (proporciona más tipos de órdenes)
newcontrols_research_squad                       Investigar el programa Escuadra (aumenta el número de soldados)
newcontrols_research_laser                       Investigar el programa Láser (aumenta el alcance)
newcontrols_research_grenade                     Investigar el programa Granada (aumenta el alcance)
newcontrols_research_rocket                      Investigar el programa Misil (aumenta el alcance)
newcontrols_research_airstrike                   Investigar el programa Ataques Aéreo (aumenta el número de bombarderos)
newcontrols_research_armour                      Investigar el programa Blindado (aumenta la capacidad de carga, y el alcance del Cañón)
newcontrols_research_taskmanager                 Investigar el programa Administrador de tareas (te permite ejecutar más programas a la vez)
newcontrols_research_engineer                    Investigar el programa Ingeniero (aumenta la capacidad de carga de espíritus)

newcontrols_hidetaskmanager_kbd                  Para abandonar el Administrador de tareas pulsa TAB o haz clic en la pantalla


# =================================================
# Demo 2 level (launchpad)
# =================================================

launchpad_objective1                             Habilitar la bomba primaria de combustible
launchpad_objective2                             Habilitar la bomba secundaria de combustible
launchpad_objective3                             Habilitar la bomba terciaria de combustible
launchpad_objective0                             Lanzar el Cohete

launchpad_primary_1                              En este mapa existen tres Bombas de Combustible.
launchpad_primary_2                              Su función es la de extraer minerales en bruto del lecho marino, y procesarlos para convertirlos en combustible líquido que pueda utilizar el Cohete en sus motores.
launchpad_primary_4                              Los Paneles Solares cercanos suministran energía a las Bombas de Combustible.
launchpad_primary_5                              Estos Paneles solares necesitan que haya darwinianos en la base para poder funcionar.
launchpad_primary_6                              Extermina la Infección vírica que hay alrededor de los Paneles solares y después escolta hasta allí a algunos darwinianos utilizando Oficiales.
launchpad_primary_7                              Una vez que estén operativos, los Paneles solares suministrarán energía a la Bomba de Combustible, que a su vez impulsará combustible líquido al interior del Cohete.

launchpad_primary_rocket_1                       Nuestro objetivo principal es el de ayudar a los darwinianos a lanzar su Cohete.
launchpad_primary_rocket_2                       Para hacerlo, primero tendremos que llenarlo de combustible.
launchpad_primary_rocket_3                       El combustible se genera en las 3 Bombas que aparecen señaladas, y que lo impulsan directamente al interior de los depósitos del Cohete.
launchpad_primary_rocket_4                       Conecta esas Bombas de Combustible a la red ocupando con darwinianos los paneles solares del mapa.
launchpad_primary_rocket_5                       Una vez que el Cohete se haya llenado completamente de combustible, podremos intentar otro lanzamiento.

launchpad_intro_1                                ¡Saludos visitante, y bienvenido a Darwinia!
launchpad_intro_2                                Mi nombre es Dr. Sepulveda y soy el creador de este mundo digital.
launchpad_intro_3                                Has llegado en un gran momento. Los nativos darwinianos han estado ocupados.
launchpad_intro_4                                Desde el final de la Gran Guerra han asumido el reto de construir un cohete.
launchpad_intro_5                                Los darwinianos son una forma de vida completamente digital, que se ejecuta en el interior de un superordenador de gran tamaño.
launchpad_intro_6                                Cada generación es más ambiciosa que la anterior. Todos quieren ser los primeros en su nuevo cohete.
launchpad_intro_7                                ¡Son unos seres con una curiosidad increíble!
launchpad_intro_8                                No estoy seguro de cuál es el objetivo final que los darwinianos pretenden lograr con esto.
launchpad_intro_9                                Pero está claro que es su proyecto más ambicioso hasta la fecha.
launchpad_intro_9b                               Han estado creciendo y mejorando durante miles de generaciones, y tienen sus propias creencias y cultura.
launchpad_intro_9c                               Este cohete es la culminación de todos sus sueños y ambiciones, y les ha llevado un tiempo increíblemente largo llegar tan lejos.
launchpad_intro_10                               ¡Dios mío, nos están atacando!
launchpad_intro_11                               ¡Los Darwinianos Rojos están atacando!
launchpad_intro_12                               ¡Dios mío, están tratando de destruir el Cohete!
launchpad_intro_13                               ¡Esto es una locura, provocarán una explosión que aniquilará a todos los darwinianos que haya dentro!
launchpad_intro_14                               Dios mío.
launchpad_intro_15                               No me puedo creer que esté pasando esto.

launchpad_logo_1                                 DARWINIA+

launchpad_middemo_1                              Darwinia no siempre ha sido así.
launchpad_middemo_2                              Todavía puedo recordar un tiempo antes de que llegaran los Virus, antes de la gran guerra que casi acabó con este mundo.
launchpad_middemo_3                              Los darwinianos lucharon tanto, y consiguieron tantas cosas, y creí que habíamos librado al sistema de la infección.
launchpad_middemo_4                              Pero parece que cada vez que me doy la vuelta, hay otro brote en algún lugar y mueren más darwinianos.
launchpad_middemo_5                              El control que los Darwininanos tienen sobre su mundo es sorprendente.
launchpad_middemo_6                              La Plataforma de lanzamiento es uno de los muchos lugares de Darwinia, pero es el primero que los darwinianos han construido íntegramente por ellos mismos.
launchpad_middemo_8                              ¡Mira todo lo que han conseguido!
launchpad_middemo_9                              La renderización que estás observando no sabía qué hacer fuera de los confines del mundo... solía ser tan sólo un espacio en blanco.
launchpad_middemo_10                             Pero los darwinianos sabían que había algo más. Manipularon el subsistema de renderización hasta poder ver más allá de su propio mundo.
launchpad_middemo_11                             Esos sistemas estelares son otros ordenadores centrales y servidores de Internet, todos ellos conectados en una gigantesca red global.
launchpad_middemo_12                             Ahora me doy cuenta de que su intención es la de explorar los millones de sistemas informáticos que pueden ver a su alrededor.
launchpad_middemo_13                             El proyecto del Gran Cohete será su mayor logro, y abrirá sus horizontes a todos los sistemas informáticos del mundo.
launchpad_middemo_14                             Y si no hubiera sido por este Virus, ya estarían ahí fuera.

# launchpad_middemo_5                As bleak as the Great War was for the Darwinians, it made them grow and learn at an astonishing rate.
# launchpad_middemo_6                Forced to fight for their lives or face extinction, the Darwinians came further in those few intensely violent days than the entire decade of evolution beforehand.

launchpad_tutorial_1                             Bueno, pues vamos a tener que ayudar a los darwinianos.
launchpad_tutorial_2_kbd                         En primer lugar vamos a enfrentarnos a la cámara. Utiliza las teclas [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] y [KEYCAMERARIGHT] para mover la cámara de un lugar a otro.
launchpad_tutorial_2_xin                         En primer lugar vamos a enfrentarnos a la cámara. Prueba a moverte por el mundo.
launchpad_tutorial_3                             Prueba a modificar al altura de la cámara.
launchpad_tutorial_3_kbd                         Para modificar la altura de la cámara desplaza el botón central de tu ratón arriba y abajo. También puedes pulsar [KEYCAMERAUP] y [KEYCAMERADOWN].
launchpad_tutorial_4_kbd                         Para combatir a la amenaza roja, vamos a tener que crear algunas unidades ofensivas. Mantén pulsada la tecla [KEYICONSTASKMANAGERDISPLAY] para que aparezca el Administrador de Tareas.
launchpad_tutorial_4_xin                         Para combatir a la amenaza roja, vamos a tener que crear algunas unidades ofensivas.
launchpad_tutorial_5_kbd                         La ESCUADRA es la principal arma de la que dispones para enfrentarte al diabólico Ejército rojo. Crea una pulsando en el icono de esta unidad situado en el centro de la pantalla cuando el Administrador de Tareas está abierto.
launchpad_tutorial_5_xin                         La ESCUADRA es la principal arma de la que dispones para enfrentarte al diabólico Ejército rojo. Crea una seleccionando el icono de esta unidad situado en el centro de la pantalla cuando el Administrador de Tareas está abierto.
launchpad_tutorial_5_error                       Ése no es el icono correcto. Inténtalo de nuevo.
launchpad_tutorial_6_kbd                         Para poder situar dentro del mundo la nueva ESCUADRA, pulsa en el interior de la zona de inicio que aparece señalada.
launchpad_tutorial_6_xin                         Para poder situar la ESCUADRA dentro del mundo, selecciona la zona de inicio que aparece destacada.
launchpad_tutorial_7_kbd                         Es necesario controlar las escuadras de forma directa. Pulsa el Botón Izquierdo del ratón para moverlas por el terreno.
# NOTE: tutorial_7_xin contains hardcoded controls, rather than [ASSIGNMENT]'s.
launchpad_tutorial_7_xin                         Las escuadras tienen que controlarse de forma directa.
launchpad_tutorial_8                             Prueba a disparar sus láseres.
launchpad_tutorial_8_kbd                         Mantén pulsado el Botón Derecho del ratón para que disparen los láseres.
launchpad_tutorial_9                             Ahora guía a la Escuadra y extermina a esos malvados Virus que se encuentran por los alrededores. ¡No dejes que se acerquen demasiado!
launchpad_tutorial_9_error                       Parece que tu Escuadra ha sido destruida. No te preocupes, podemos crear otra.
launchpad_tutorial_10                            El objeto azul resplandeciente que aparece allí delante es una parte de mi Investigación. Contiene un arma que podemos utilizar frente a los Virus Rojos.
launchpad_tutorial_11_kbd                        Para poder capturar esta Investigación tenemos que crear un Ingeniero. Mantén pulsado [KEYICONSTASKMANAGERDISPLAY], y a continuación haz clic en el botón de esta unidad.
launchpad_tutorial_11_xin                        Para poder capturar esta Investigación tenemos que crear un Ingeniero. Abre el Administrador de tareas, y a continuación selecciona el botón de esta unidad.
launchpad_tutorial_12                            Sitúa al nuevo Ingeniero cerca de la Escuadra y condúcelo hasta las cercanías de la Investigación.
launchpad_tutorial_12b                           Los ingenieros son sólo unas herramientas de depuración estúpidas, pero sirven para varios propósitos.
launchpad_tutorial_12c                           Aquí puedes observar al Ingeniero recogiendo esa parte de la investigación.
launchpad_tutorial_12d                           Una vez que haya terminado, la subirá a mi sistema, y podremos hacer uso de ella.
launchpad_tutorial_12e                           Puede que encuentres más Investigación como ésta flotando por ahí y me sería de gran ayuda que la recogieras para mí.
launchpad_tutorial_13                            Fantástico, has conseguido de nuevo las Granadas.
launchpad_tutorial_13b_kbd                       Pulsa en la escuadra existente para volver a controlarla. También, puedes hacer clic sobre ella en el Administrador de tareas, o pulsar 1.
launchpad_tutorial_13b_xin                       Selecciona la escuadra existente para volver a controlarla. También puedes seleccionarla en el Administrador de Tareas.
launchpad_tutorial_14                            Prueba a lanzar una Granada.
launchpad_tutorial_14_xin                        Pulsa el gatillo derecho mientras disparas los láseres de la escuadra para lanzar una granada.
launchpad_tutorial_14_kbd                        Mientras estés pulsando el Botón Derecho del ratón para disparar los láseres, utiliza el Botón Izquierdo para lanzar una Granada.
launchpad_tutorial_15                            Te recomendaría que guiaras a la escuadra y acabaras con esos Virus de la colina utilizando el nuevo armamento.
launchpad_tutorial_16                            Tenemos que alcanzar la Antena de radar cercana, así que asegúrate de que te cargas a todos.
launchpad_tutorial_17                            Este edificio es una Antena de Radar. Las Antenas de radar pueden utilizarse para viajar entre islas que no tienen conexión.
launchpad_tutorial_18                            Ahora vamos a utilizarla para abrir un enlace a una isla vecina y después vamos a enviar una Escuadra a través de él.
launchpad_tutorial_19                            Desgraciadamente esta Antena de Radar ha sido infectada por los mismos Virus rojos contra los que has estado luchando.
launchpad_tutorial_20                            Para poder utilizarla, primero tenemos que conseguir que nuestro Ingeniero la reprograme limpiándola de la infección vírica.
launchpad_tutorial_21_kbd                        Selecciona de nuevo a tu Ingeniero y condúcelo hasta las cercanías de la Antena de Radar para comenzar a reprogramarla. Haz clic en este icono del Administrador de tareas para seleccionarlo de nuevo, o pulsa directamente sobre él.
launchpad_tutorial_21_xin                        Selecciona de nuevo a tu Ingeniero y condúcelo hasta las cercanías de la Antena de Radar para comenzar a reprogramarla. Selecciona su icono en el Administrador de Tareas para seleccionarlo de nuevo, o selecciónalo directamente.
launchpad_tutorial_22                            El Ingeniero puede acceder a la Antena de Radar a través de la Torre de Control cercana. Ahora la está reprogramando para que podamos utilizarla.
launchpad_tutorial_23_kbd                        Bien, la Antena de Radar está ahora bajo nuestro control. Deja de seleccionar al Ingeniero pulsando [KEYUNITDESELECT], y a continuación marca la Antena de Radar haciendo clic sobre ella.
launchpad_tutorial_23_xin                        Bien, ahora la Antena de Radar está bajo nuestro control. Deja de seleccionar a tu Ingeniero pulsando el botón B, a continuación selecciona la Antena de Radar señalándola con el cursor y pulsando A.
launchpad_tutorial_24_kbd                        Ahora alinea la Antena pulsando en el receptor de la isla de la lejanía. He marcado el receptor para ti. Puedes acercar la visión utilizando el botón central del ratón o la tecla [KEYCAMERAZOOM].
launchpad_tutorial_24_xin                        Ahora alinea la Antena seleccionando el receptor de la isla de la lejanía. He señalado el receptor para ti.
launchpad_tutorial_25_kbd                        Ahora deberías ver que las antenas están alineadas, y que podemos enviar nuestra Escuadra a través de ellas. Deja de seleccionar de la antena pulsando [KEYUNITDESELECT], y después marca de nuevo a tu ESCUADRA.
launchpad_tutorial_25_xin                        Ahora deberías ver que las antenas están alineadas, y que podemos enviar nuestra Escuadra a través de ellas. Deja de seleccionar la antena y después selecciona de nuevo a tu ESCUADRA.
launchpad_tutorial_26_kbd                        Ahora puedes enviar tu ESCUADRA a través de la antena pulsando sobre ella mientras están seleccionados.
launchpad_tutorial_26_xin                        Ahora puedes enviar tu ESCUADRA a través de la antena seleccionándola mientras estén seleccionados.

launchpad_tutorial_defend_1                      Ten cuidado, hay más Virus en los alrededores.
launchpad_tutorial_defend_2                      ¡Defiéndete!
launchpad_tutorial_clearincubator                Deberías matar todos los Virus que rodean ese edificio antes de continuar. Por favor, vuelve y hazlo.

launchpad_tutorial_40                            Este edificio es una Incubadora y se trata de una instalación muy importante en Darwinia.
launchpad_tutorial_41                            Podemos utilizarla para convertir en darwinianos las almas de aquellas criaturas que acabas de matar.
launchpad_tutorial_42                            Pero, al igual que sucedía con la Antena de Radar, lo primero que tenemos que hacer es reprogramarla para eliminar la infección vírica.
launchpad_tutorial_43_kbd                        Crea a un Ingeniero cerca de la Incubadora para reprogramarla. Mantén pulsada la tecla [KEYICONSTASKMANAGERDISPLAY] y pulsa el botón de Ingeniero. También puedes pulsar [KEYICONSTASKMANAGERNEWENGINEER].
launchpad_tutorial_43_xin                        Crea a un Ingeniero cerca de la Incubadora para reprogramarla. Abre el Administrador de Tareas, y selecciona el botón de Ingeniero.
launchpad_tutorial_44                            Ahora que la Incubadora está conectada a la red, verás que el Ingeniero está recogiendo almas.
launchpad_tutorial_45                            Todas las criaturas de este mundo tienen un alma, con independencia de que se trate de darwinianos de tu bando o de un diabólico virus.
launchpad_tutorial_46                            Los ingenieros pueden recoger las almas de las criaturas muertas y depositarlas en las Incubadoras para que nazcan de nuevo.
launchpad_tutorial_47                            Las Incubadoras convertirán de una en una las almas en nuevos darwinianos.
launchpad_tutorial_48                            Así es como luchamos contra los virus: destruimos sus diabólicas formas rojas, recogemos sus almas, y las convertimos en darwinianos de nuestro bando.
launchpad_tutorial_49                            Buen trabajo, han nacido los primeros darwinianos.
