# =================================================
# Logitech stuff
# =================================================

logitech_num_DG                                  Multiwinianos seleccionados:
location_biosphere                               BIOSFERA
location_receiver                                RECEPTOR
location_temple                                  TEMPLO

location_unknown                                 lugar desconocido

location_prologue                                Prólogo

location_garden_multiwinia                       JardínAmurallado
location_containment_multiwinia                  Prisión
location_mine_multiwinia                         MinaDeCombustible
location_generator_multiwinia                    TierrasBaldías
location_yard_multiwinia                         Cementerio
location_escort_multiwinia                       RutaDeFuga
location_pattern_buffer_multiwinia               Hipocentro
location_biosphere_multiwinia                    RiesgoBiológico
location_receiver_multiwinia                     CampoDeEntrenamiento
location_temple_multiwinia                       TemploProfanado


# =================================================
# New Controls
# =================================================

newcontrols_prefsoption                          Modo de Control
newcontrols_prefs_gestures                       Basado en gestos
newcontrols_prefs_icons                          Basado en iconos

newcontrols_createnewtask                        CREAR NUEVA TAREA

newcontrols_create_squad                         Crear nueva Escuadra
newcontrols_create_engineer                      Crear nuevo Ingeniero
newcontrols_create_officer                       Crear nuevo Oficial
newcontrols_create_armour                        Crear nuevo Blindado

newcontrols_delete_squad                         Borrar esta Escuadra
newcontrols_delete_engineer                      Borrar este Ingeniero
newcontrols_delete_officer                       Borrar este Oficial
newcontrols_delete_armour                        Borrar este Blindado

newcontrols_select_squad                         Seleccionar esta Escuadra
newcontrols_select_engineer                      Seleccionar este Ingeniero
newcontrols_select_officer                       Seleccionar este Oficial
newcontrols_select_armour                        Seleccionar este Blindado

newcontrols_place_squad                          Desplegar esta Escuadra
newcontrols_place_engineer                       Desplegar este Ingeniero
newcontrols_place_officer                        Desplegar este Oficial
newcontrols_place_armour                         Desplegar este Blindado

newcontrols_select_grenade                       Seleccionar Granada
newcontrols_select_rocket                        Seleccionar Misil
newcontrols_select_airstrike                     Seleccionar Ataque Aéreo
newcontrols_select_controller                    Seleccionar Controlador

newcontrols_showresearch                         Mostrar pantalla de investigación
newcontrols_showtaskmanager                      Mostrar pantalla del administrador de tareas
newcontrols_showobjectives                       Mostrar pantalla de objetivos

newcontrols_research_darwinian                   Investigar el programa Darwiniano (proporciona un mejor armamento)
newcontrols_research_officer                     Investigar el programa Oficial (proporciona más tipos de órdenes)
newcontrols_research_squad                       Investigar el programa Escuadra (aumenta el número de soldados)
newcontrols_research_laser                       Investigar el programa Láser (aumenta el alcance)
newcontrols_research_grenade                     Investigar el programa Granada (aumenta el alcance)
newcontrols_research_rocket                      Investigar el programa Misil (aumenta el alcance)
newcontrols_research_airstrike                   Investigar el programa Ataques Aéreo (aumenta el número de bombarderos)
newcontrols_research_armour                      Investigar el programa Blindado (aumenta la capacidad de carga, y el alcance del Cañón)
newcontrols_research_taskmanager                 Investigar el programa Administrador de tareas (te permite ejecutar más programas a la vez)
newcontrols_research_engineer                    Investigar el programa Ingeniero (aumenta la capacidad de carga de espíritus)

newcontrols_hidetaskmanager_kbd                  Para abandonar el Administrador de tareas pulsa TAB o haz clic en la pantalla


# =================================================
# Demo 2 level (launchpad)
# =================================================

launchpad_objective1                             Habilitar la bomba primaria de combustible
launchpad_objective2                             Habilitar la bomba secundaria de combustible
launchpad_objective3                             Habilitar la bomba terciaria de combustible
launchpad_objective0                             Lanzar el Cohete

launchpad_primary_1                              En este mapa existen tres Bombas de Combustible.
launchpad_primary_2                              Su función es la de extraer minerales en bruto del lecho marino, y procesarlos para convertirlos en combustible líquido que pueda utilizar el Cohete en sus motores.
launchpad_primary_4                              Los Paneles Solares cercanos suministran energía a las Bombas de Combustible.
launchpad_primary_5                              Estos Paneles solares necesitan que haya darwinianos en la base para poder funcionar.
launchpad_primary_6                              Extermina la Infección vírica que hay alrededor de los Paneles solares y después escolta hasta allí a algunos darwinianos utilizando Oficiales.
launchpad_primary_7                              Una vez que estén operativos, los Paneles solares suministrarán energía a la Bomba de Combustible, que a su vez impulsará combustible líquido al interior del Cohete.

launchpad_primary_rocket_1                       Nuestro objetivo principal es el de ayudar a los darwinianos a lanzar su Cohete.
launchpad_primary_rocket_2                       Para hacerlo, primero tendremos que llenarlo de combustible.
launchpad_primary_rocket_3                       El combustible se genera en las 3 Bombas que aparecen señaladas, y que lo impulsan directamente al interior de los depósitos del Cohete.
launchpad_primary_rocket_4                       Conecta esas Bombas de Combustible a la red ocupando con darwinianos los paneles solares del mapa.
launchpad_primary_rocket_5                       Una vez que el Cohete se haya llenado completamente de combustible, podremos intentar otro lanzamiento.

launchpad_intro_1                                ¡Saludos visitante, y bienvenido a Darwinia!
launchpad_intro_2                                Mi nombre es Dr. Sepulveda y soy el creador de este mundo digital.
launchpad_intro_3                                Has llegado en un gran momento. Los nativos darwinianos han estado ocupados.
launchpad_intro_4                                Desde el final de la Gran Guerra han asumido el reto de construir un cohete.
launchpad_intro_5                                Los darwinianos son una forma de vida completamente digital, que se ejecuta en el interior de un superordenador de gran tamaño.
launchpad_intro_6                                Cada generación es más ambiciosa que la anterior. Todos quieren ser los primeros en su nuevo cohete.
launchpad_intro_7                                ¡Son unos seres con una curiosidad increíble!
launchpad_intro_8                                No estoy seguro de cuál es el objetivo final que los darwinianos pretenden lograr con esto.
launchpad_intro_9                                Pero está claro que es su proyecto más ambicioso hasta la fecha.
launchpad_intro_9b                               Han estado creciendo y mejorando durante miles de generaciones, y tienen sus propias creencias y cultura.
launchpad_intro_9c                               Este cohete es la culminación de todos sus sueños y ambiciones, y les ha llevado un tiempo increíblemente largo llegar tan lejos.
launchpad_intro_10                               ¡Dios mío, nos están atacando!
launchpad_intro_11                               ¡Los Darwinianos Rojos están atacando!
launchpad_intro_12                               ¡Dios mío, están tratando de destruir el Cohete!
launchpad_intro_13                               ¡Esto es una locura, provocarán una explosión que aniquilará a todos los darwinianos que haya dentro!
launchpad_intro_14                               Dios mío.
launchpad_intro_15                               No me puedo creer que esté pasando esto.

launchpad_logo_1                                 DARWINIA+

launchpad_middemo_1                              Darwinia no siempre ha sido así.
launchpad_middemo_2                              Todavía puedo recordar un tiempo antes de que llegaran los Virus, antes de la gran guerra que casi acabó con este mundo.
launchpad_middemo_3                              Los darwinianos lucharon tanto, y consiguieron tantas cosas, y creí que habíamos librado al sistema de la infección.
launchpad_middemo_4                              Pero parece que cada vez que me doy la vuelta, hay otro brote en algún lugar y mueren más darwinianos.
launchpad_middemo_5                              El control que los Darwininanos tienen sobre su mundo es sorprendente.
launchpad_middemo_6                              La Plataforma de lanzamiento es uno de los muchos lugares de Darwinia, pero es el primero que los darwinianos han construido íntegramente por ellos mismos.
launchpad_middemo_8                              ¡Mira todo lo que han conseguido!
launchpad_middemo_9                              La renderización que estás observando no sabía qué hacer fuera de los confines del mundo... solía ser tan sólo un espacio en blanco.
launchpad_middemo_10                             Pero los darwinianos sabían que había algo más. Manipularon el subsistema de renderización hasta poder ver más allá de su propio mundo.
launchpad_middemo_11                             Esos sistemas estelares son otros ordenadores centrales y servidores de Internet, todos ellos conectados en una gigantesca red global.
launchpad_middemo_12                             Ahora me doy cuenta de que su intención es la de explorar los millones de sistemas informáticos que pueden ver a su alrededor.
launchpad_middemo_13                             El proyecto del Gran Cohete será su mayor logro, y abrirá sus horizontes a todos los sistemas informáticos del mundo.
launchpad_middemo_14                             Y si no hubiera sido por este Virus, ya estarían ahí fuera.

# launchpad_middemo_5                As bleak as the Great War was for the Darwinians, it made them grow and learn at an astonishing rate.
# launchpad_middemo_6                Forced to fight for their lives or face extinction, the Darwinians came further in those few intensely violent days than the entire decade of evolution beforehand.

launchpad_tutorial_1                             Bueno, pues vamos a tener que ayudar a los darwinianos.
launchpad_tutorial_2_kbd                         En primer lugar vamos a enfrentarnos a la cámara. Utiliza las teclas [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] y [KEYCAMERARIGHT] para mover la cámara de un lugar a otro.
launchpad_tutorial_2_xin                         En primer lugar vamos a enfrentarnos a la cámara. Prueba a moverte por el mundo.
launchpad_tutorial_3                             Prueba a modificar al altura de la cámara.
launchpad_tutorial_3_kbd                         Para modificar la altura de la cámara desplaza el botón central de tu ratón arriba y abajo. También puedes pulsar [KEYCAMERAUP] y [KEYCAMERADOWN].
launchpad_tutorial_4_kbd                         Para combatir a la amenaza roja, vamos a tener que crear algunas unidades ofensivas. Mantén pulsada la tecla [KEYICONSTASKMANAGERDISPLAY] para que aparezca el Administrador de Tareas.
launchpad_tutorial_4_xin                         Para combatir a la amenaza roja, vamos a tener que crear algunas unidades ofensivas.
launchpad_tutorial_5_kbd                         La ESCUADRA es la principal arma de la que dispones para enfrentarte al diabólico Ejército rojo. Crea una pulsando en el icono de esta unidad situado en el centro de la pantalla cuando el Administrador de Tareas está abierto.
launchpad_tutorial_5_xin                         La ESCUADRA es la principal arma de la que dispones para enfrentarte al diabólico Ejército rojo. Crea una seleccionando el icono de esta unidad situado en el centro de la pantalla cuando el Administrador de Tareas está abierto.
launchpad_tutorial_5_error                       Ése no es el icono correcto. Inténtalo de nuevo.
launchpad_tutorial_6_kbd                         Para poder situar dentro del mundo la nueva ESCUADRA, pulsa en el interior de la zona de inicio que aparece señalada.
launchpad_tutorial_6_xin                         Para poder situar la ESCUADRA dentro del mundo, selecciona la zona de inicio que aparece destacada.
launchpad_tutorial_7_kbd                         Es necesario controlar las escuadras de forma directa. Pulsa el Botón Izquierdo del ratón para moverlas por el terreno.
# NOTE: tutorial_7_xin contains hardcoded controls, rather than [ASSIGNMENT]'s.
launchpad_tutorial_7_xin                         Las escuadras tienen que controlarse de forma directa.
launchpad_tutorial_8                             Prueba a disparar sus láseres.
launchpad_tutorial_8_kbd                         Mantén pulsado el Botón Derecho del ratón para que disparen los láseres.
launchpad_tutorial_9                             Ahora guía a la Escuadra y extermina a esos malvados Virus que se encuentran por los alrededores. ¡No dejes que se acerquen demasiado!
launchpad_tutorial_9_error                       Parece que tu Escuadra ha sido destruida. No te preocupes, podemos crear otra.
launchpad_tutorial_10                            El objeto azul resplandeciente que aparece allí delante es una parte de mi Investigación. Contiene un arma que podemos utilizar frente a los Virus Rojos.
launchpad_tutorial_11_kbd                        Para poder capturar esta Investigación tenemos que crear un Ingeniero. Mantén pulsado [KEYICONSTASKMANAGERDISPLAY], y a continuación haz clic en el botón de esta unidad.
launchpad_tutorial_11_xin                        Para poder capturar esta Investigación tenemos que crear un Ingeniero. Abre el Administrador de tareas, y a continuación selecciona el botón de esta unidad.
launchpad_tutorial_12                            Sitúa al nuevo Ingeniero cerca de la Escuadra y condúcelo hasta las cercanías de la Investigación.
launchpad_tutorial_12b                           Los ingenieros son sólo unas herramientas de depuración estúpidas, pero sirven para varios propósitos.
launchpad_tutorial_12c                           Aquí puedes observar al Ingeniero recogiendo esa parte de la investigación.
launchpad_tutorial_12d                           Una vez que haya terminado, la subirá a mi sistema, y podremos hacer uso de ella.
launchpad_tutorial_12e                           Puede que encuentres más Investigación como ésta flotando por ahí y me sería de gran ayuda que la recogieras para mí.
launchpad_tutorial_13                            Fantástico, has conseguido de nuevo las Granadas.
launchpad_tutorial_13b_kbd                       Pulsa en la escuadra existente para volver a controlarla. También, puedes hacer clic sobre ella en el Administrador de tareas, o pulsar 1.
launchpad_tutorial_13b_xin                       Selecciona la escuadra existente para volver a controlarla. También puedes seleccionarla en el Administrador de Tareas.
launchpad_tutorial_14                            Prueba a lanzar una Granada.
launchpad_tutorial_14_xin                        Pulsa el gatillo derecho mientras disparas los láseres de la escuadra para lanzar una granada.
launchpad_tutorial_14_kbd                        Mientras estés pulsando el Botón Derecho del ratón para disparar los láseres, utiliza el Botón Izquierdo para lanzar una Granada.
launchpad_tutorial_15                            Te recomendaría que guiaras a la escuadra y acabaras con esos Virus de la colina utilizando el nuevo armamento.
launchpad_tutorial_16                            Tenemos que alcanzar la Antena de radar cercana, así que asegúrate de que te cargas a todos.
launchpad_tutorial_17                            Este edificio es una Antena de Radar. Las Antenas de radar pueden utilizarse para viajar entre islas que no tienen conexión.
launchpad_tutorial_18                            Ahora vamos a utilizarla para abrir un enlace a una isla vecina y después vamos a enviar una Escuadra a través de él.
launchpad_tutorial_19                            Desgraciadamente esta Antena de Radar ha sido infectada por los mismos Virus rojos contra los que has estado luchando.
launchpad_tutorial_20                            Para poder utilizarla, primero tenemos que conseguir que nuestro Ingeniero la reprograme limpiándola de la infección vírica.
launchpad_tutorial_21_kbd                        Selecciona de nuevo a tu Ingeniero y condúcelo hasta las cercanías de la Antena de Radar para comenzar a reprogramarla. Haz clic en este icono del Administrador de tareas para seleccionarlo de nuevo, o pulsa directamente sobre él.
launchpad_tutorial_21_xin                        Selecciona de nuevo a tu Ingeniero y condúcelo hasta las cercanías de la Antena de Radar para comenzar a reprogramarla. Selecciona su icono en el Administrador de Tareas para seleccionarlo de nuevo, o selecciónalo directamente.
launchpad_tutorial_22                            El Ingeniero puede acceder a la Antena de Radar a través de la Torre de Control cercana. Ahora la está reprogramando para que podamos utilizarla.
launchpad_tutorial_23_kbd                        Bien, la Antena de Radar está ahora bajo nuestro control. Deja de seleccionar al Ingeniero pulsando [KEYUNITDESELECT], y a continuación marca la Antena de Radar haciendo clic sobre ella.
launchpad_tutorial_23_xin                        Bien, ahora la Antena de Radar está bajo nuestro control. Deja de seleccionar a tu Ingeniero pulsando el botón B, a continuación selecciona la Antena de Radar señalándola con el cursor y pulsando A.
launchpad_tutorial_24_kbd                        Ahora alinea la Antena pulsando en el receptor de la isla de la lejanía. He marcado el receptor para ti. Puedes acercar la visión utilizando el botón central del ratón o la tecla [KEYCAMERAZOOM].
launchpad_tutorial_24_xin                        Ahora alinea la Antena seleccionando el receptor de la isla de la lejanía. He señalado el receptor para ti.
launchpad_tutorial_25_kbd                        Ahora deberías ver que las antenas están alineadas, y que podemos enviar nuestra Escuadra a través de ellas. Deja de seleccionar de la antena pulsando [KEYUNITDESELECT], y después marca de nuevo a tu ESCUADRA.
launchpad_tutorial_25_xin                        Ahora deberías ver que las antenas están alineadas, y que podemos enviar nuestra Escuadra a través de ellas. Deja de seleccionar la antena y después selecciona de nuevo a tu ESCUADRA.
launchpad_tutorial_26_kbd                        Ahora puedes enviar tu ESCUADRA a través de la antena pulsando sobre ella mientras están seleccionados.
launchpad_tutorial_26_xin                        Ahora puedes enviar tu ESCUADRA a través de la antena seleccionándola mientras estén seleccionados.

launchpad_tutorial_defend_1                      Ten cuidado, hay más Virus en los alrededores.
launchpad_tutorial_defend_2                      ¡Defiéndete!
launchpad_tutorial_clearincubator                Deberías matar todos los Virus que rodean ese edificio antes de continuar. Por favor, vuelve y hazlo.

launchpad_tutorial_40                            Este edificio es una Incubadora y se trata de una instalación muy importante en Darwinia.
launchpad_tutorial_41                            Podemos utilizarla para convertir en darwinianos las almas de aquellas criaturas que acabas de matar.
launchpad_tutorial_42                            Pero, al igual que sucedía con la Antena de Radar, lo primero que tenemos que hacer es reprogramarla para eliminar la infección vírica.
launchpad_tutorial_43_kbd                        Crea a un Ingeniero cerca de la Incubadora para reprogramarla. Mantén pulsada la tecla [KEYICONSTASKMANAGERDISPLAY] y pulsa el botón de Ingeniero. También puedes pulsar [KEYICONSTASKMANAGERNEWENGINEER].
launchpad_tutorial_43_xin                        Crea a un Ingeniero cerca de la Incubadora para reprogramarla. Abre el Administrador de Tareas, y selecciona el botón de Ingeniero.
launchpad_tutorial_44                            Ahora que la Incubadora está conectada a la red, verás que el Ingeniero está recogiendo almas.
launchpad_tutorial_45                            Todas las criaturas de este mundo tienen un alma, con independencia de que se trate de darwinianos de tu bando o de un diabólico virus.
launchpad_tutorial_46                            Los ingenieros pueden recoger las almas de las criaturas muertas y depositarlas en las Incubadoras para que nazcan de nuevo.
launchpad_tutorial_47                            Las Incubadoras convertirán de una en una las almas en nuevos darwinianos.
launchpad_tutorial_48                            Así es como luchamos contra los virus: destruimos sus diabólicas formas rojas, recogemos sus almas, y las convertimos en darwinianos de nuestro bando.
launchpad_tutorial_49                            Buen trabajo, han nacido los primeros darwinianos.
launchpad_tutorial_50                            Como decía antes, son unos seres tremendamente curiosos, y consideré que era indispensable diseñarlos con su propio sentido del libre albedrío.
launchpad_tutorial_51                            No podemos controlarlos directamente como hacemos con los Soldados y los Ingenieros.
launchpad_tutorial_52                            Sino que escuchan a los suyos: podemos influir en ellos utilizando Oficiales.
launchpad_tutorial_53                            La investigación sobre los Oficiales está allí delante. Extermina al Virus que hay a su alrededor, y hazte con la investigación utilizando a un Ingeniero.
launchpad_tutorial_54                            Bien, para ponerte al corriente del plan: lo que estoy intentando hacer es llenar de combustible el Cohete para que los darwinianos puedan intentar lanzarlo otra vez.
launchpad_tutorial_54b                           Con el tiempo nos tendremos que enfrentar a esos malvados Darwinianos Rojos que hay alrededor del cohete, pero antes de que podamos hacerlo tenemos que llenarlo de combustible.
launchpad_tutorial_55                            La mayor parte del combustible del cohete se quemó en el ataque anterior, y tenemos que volver a abastecerlo de nuevo.
launchpad_tutorial_56                            El combustible del cohete se genera en tres Bombas de Combustible esparcidas alrededor de la isla principal. Aquí está una de ellas.
launchpad_tutorial_57                            Su función es la extraer combustible en bruto del lecho marino y refinarlo hasta convertirlo en combustible para el cohete, que posteriormente se bombea al interior de sus depósitos.
launchpad_tutorial_58                            Desgraciadamente, las tres Bombas de Combustible están desconectadas de la red, y necesitan energía para poder funcionar.
launchpad_tutorial_59                            Dicha energía se genera en estos Paneles Solares.
launchpad_tutorial_60                            Para poder hacer funcionar estos Paneles Solares tenemos que escoltar a algunos darwinianos a cada uno de ellos.
launchpad_tutorial_61                            Y la Investigación que acabas de recoger hará exactamente eso: nos permitirá guiar a los darwinianos utilizando Oficiales.
launchpad_tutorial_62_kbd                        Mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y haz clic en el botón para crear un Oficial. También puedes pulsar [KEYICONSTASKMANAGERNEWOFFICER].
launchpad_tutorial_62_xin                        Abre el Administrador de Tareas y selecciona el botón para crear un Oficial.
launchpad_tutorial_63_kbd                        Ahora tenemos que seleccionar a un darwiniano para ascenderlo, de forma que se convierta en nuestro Oficial. Pulsa en cualquiera de estos darwinianos para hacerlo.
launchpad_tutorial_63_xin                        Ahora tenemos que seleccionar a un darwiniano para ascenderlo, de forma que se convierta en nuestro Oficial. Selecciona a cualquiera de estos darwinianos para hacerlo.
launchpad_tutorial_64_kbd                        Ahora podemos influir sobre otros darwinianos que se encuentren a nuestro alrededor. Pulsa con el botón derecho en el Oficial para ponerlo en modo SEGUIR.
launchpad_tutorial_64_xin                        Ahora podemos influir sobre otros darwinianos que se encuentren a nuestro alrededor. Con el Oficial seleccionado, señálalo con el cursor y utiliza el D-Pad para ponerlo en modo SEGUIR.
launchpad_tutorial_65                            Ahora esos darwinianos seguirán al Oficial allí donde vaya. En este caso hemos reunido a todos los darwinianos de los alrededores.
launchpad_tutorial_66_kbd                        Pulsa con el botón derecho cerca de los Paneles Solares para poner al Oficial en modo IR A.
launchpad_tutorial_66_xin                        Ve hacia los Paneles Solares y utiliza el D-Pad para poner al Oficial en modo Ir A.
launchpad_tutorial_67                            El Oficial está ordenando a todos los darwinianos de los alrededores que marchen hasta ese lugar.
launchpad_tutorial_68                            Puedes tener tantos Oficiales como necesites. Ahora utiliza a los Oficiales para ocupar los tableros de control situados alrededor de la base de cada uno de los tres Paneles Solares.
launchpad_tutorial_69                            Un trabajo magnífico. El primer grupo de Paneles Solares está en funcionamiento.
launchpad_tutorial_70                            Mientras haya darwinianos manejándolos, continuarán generando energía durante el tiempo que necesitemos.
launchpad_tutorial_71                            La primera Bomba de Combustible está ahora recibiendo esa energía y ha comenzado a extraer combustible en bruto del lecho oceánico.
launchpad_tutorial_72                            Hay todo un ecosistema digital debajo del océano que ha estado funcionando durante más de una década, así que no hay escasez de minerales que se puedan utilizar como combustible.
launchpad_tutorial_73                            Por supuesto, yo no me di cuenta de esto, fueron los darwinianos quienes tuvieron la idea de explotar los lechos oceánicos para conseguir combustible.
launchpad_tutorial_74                            Ahora puedes observar cómo se bombea la primera parte del Combustible para Cohetes al interior de los depósitos.
launchpad_tutorial_75                            En fin.
launchpad_tutorial_76                            Todavía hay dos Bombas de Combustible que necesitan energía, así que es mejor que nos pongamos a ello.
launchpad_tutorial_77                            Probablemente deberías dirigirte en esta dirección.

launchpad_reprogram_1_kbd                        Para alinear esta Antena de Radar, primero espera a que haya sido reprogramada, y después deja de seleccionar la tarea actual pulsando [KEYUNITDESELECT].
launchpad_reprogram_1_xin                        Para alinear esta Antena de Radar, primero espera a que haya sido reprogramada, y después deja de seleccionar la tarea actual.
launchpad_reprogram_2_kbd                        Entonces podrás hacer clic en la Antena de Radar, y alinearla pulsando sobre la Antena receptora.
launchpad_reprogram_2_xin                        Entonces podrás seleccionar la Antena de Radar y alinearla seleccionando la Antena receptora.
launchpad_reprogram_3_kbd                        Cuando hayas terminado, pulsa [KEYUNITDESELECT] para dejar de seleccionar la antena.
launchpad_reprogram_3_xin                        Cuando hayas terminado, deja de seleccionar la antena.

launchpad_dgupgrade_1                            ¡Has encontrado parte de la Investigación sobre el armamento darwiniano!
launchpad_dgupgrade_2                            Esta investigación servirá para equipar a nuestros darwinianos verdes con las mismas granadas que utilizan los Soldados.
launchpad_dgupgrade_3                            Nuestros darwinianos tendrán muchas más probabilidades contra esos malvados Virus Rojos ahora que disponen de este armamento.

launchpad_finalintro_1                           Esta isla está muy infectada de Virus.
launchpad_finalintro_2                           Recuerda capturar la Incubadora cercana utilizando un Ingeniero y recoger las almas de los muertos que vas abatiendo.
launchpad_finalintro_3                           No tengas miedo de utilizar a los darwinianos recién nacidos como soldados, ordenándoles que ataquen al enemigo a través de tus Oficiales.

launchpad_finalisland_1                          Las tres Bombas de Combustible están funcionando perfectamente, y el Cohete se está repostando. Bien hecho.
launchpad_finalisland_2                          Ahora nos enfrentamos al obstáculo final. Tenemos que atacar y destruir a los malvados darwinianos rojos que ocupan la plataforma de lanzamiento.
launchpad_finalisland_3                          Esos edificios alrededor de los cuáles se apiñan reciben el nombre de Puntos de Generación. Tendrás que arrebatar al Ejército Rojo el control de estos puntos.
launchpad_finalisland_4                          Puedes considerar a estos edificios como Incubadoras que funcionan en modo automático: generarán de forma continua nuevos darwinianos hasta que se haya alcanzado una cierta población.
launchpad_finalisland_5                          Actualmente están bajo control de los Darwinianos Rojos, así que los nuevos darwinianos que se creen serán Rojos también.
launchpad_finalisland_6                          Una vez que captures el primero de estos Puntos de Generación, comenzarás inmediatamente a recibir nuevos Darwinianos Verdes.
launchpad_finalisland_7                          Para poder capturar el primer Punto de Generación tendrás que conducir hasta aquí a Darwinianos Verdes de tu bando a través del enlace de esta Antena de radar.
launchpad_finalisland_8                          Los Darwinianos Rojos te atacarán en cuanto te hagas con el primer Punto de Generación, así que ten cuidado.
launchpad_finalisland_9                          ¡Y buena suerte!

launchpad_reprogram2_1                           Alinea esta Antena de Radar con la isla central.
launchpad_reprogram2_2                           Después podrás guiar a los darwinianos a través del enlace utilizando a un Oficial.

launchpad_success_1                              ¡Lo hemos conseguido!
launchpad_success_2                              Quiero darte las gracias de todo corazón.
launchpad_success_3                              Si quieres ver más de este mundo y conocer cosas sobre la Gran Guerra, por favor compra en línea el juego completo.
launchpad_success_3_demogame                     Si quieres ver cómo empezó todo esto, por favor, compra el Juego Completo y podrás ver la Gran Guerra en modo Campaña.
launchpad_success_4                              ¡Adiós, amigo!

launchpad_button_exitdemo                        SALIR DE LA DEMO
launchpad_button_buynow                          COMPRAR AHORA

launchpad_buyme_1                                ¿QUIERES MÁS?
launchpad_buyme_2                                Compra Darwinia en línea y
launchpad_buyme_3                                ¡DESCARGA EL JUEGO INMEDIATAMENTE!
launchpad_buyme_4                                Una descarga de 30 Mb es lo único
launchpad_buyme_5                                que te separa del juego completo.


# ================================================
# END OF STRINGS FILE FOR DEMO
# All strings below this line will NOT
# be included in the DEMO build
# ================================================

demo_endoffile                                   Sin utilizar


# ================================================
# Garden
# ================================================

garden_intro_1                                   ¿Quién demonios eres tú? ¿Cómo has entrado aquí?
garden_intro_2                                   Creí que había cerrado todas las conexiones externas.
garden_intro_3                                   Vale. Está bien. Pues si te vas a quedar al menos podrías echar una mano.
garden_intro_4                                   Tómate tu tiempo para ponerte en situación, y después ayúdame a exterminar este Virus Rojo.
garden_intro_5_kbd                               Si te atascas, pulsa [KEYSEPULVEDAHELP] y te daré algunos consejos.

garden_foundscroll_1                             ¡Un trabajo magnífico! Los Ingenieros estarán ahora ocupados descargando esa Investigación en mi ordenador.
garden_foundscroll_2                             Desgraciadamente casi toda mi investigación se perdió hace unas horas cuando se produjo este brote vírico, así que puede que te encuentres más adelante con más partes como ésta.
garden_foundscroll_3                             Me sería de gran ayuda que utilizaras Ingenieros para descargar cada una de las partes de la Investigación cuando las encuentres. Estoy tremendamente ocupado ahora mismo intentado parar este maldito Virus, y no tengo tiempo para solucionarlo por mí mismo.

garden_souls_1                                   Puede que te hayas fijado en que esos Virus van dejando atrás una cositas rojas cuando los matas. Se trata de ADN digital...almas digitales, si me permites el término.
garden_souls_2                                   Toda criatura viva de Darwinia tiene su propia alma digital. Originalmente estaban pensadas para los darwinianos, pero a día de hoy el Virus se ha tragado la mayoría de ellas.
garden_opentrunkport_1                           Antes de que podamos solucionar esto, tenemos que salir de este lugar. Lo que necesito que hagas aquí es abrir este Puerto Troncal para mí.
garden_opentrunkport_2                           Dispone de una Torre de Control estándar en las cercanías, así que puedes enviar a uno de tus ingenieros a reprogramarla para que podamos utilizarlo.


# ================================================
# Cutscene after Garden
# ================================================

gardenfinished_1                                 Perdóname si he sido grosero contigo en aquella isla, pero he estado muy ocupado durante las últimas horas.
gardenfinished_2                                 Mi nombre es Dr. Sepulveda y soy el Creador del proyecto Darwin de Vida Digital. Normalmente te daría la bienvenida a Darwinia y te enseñaría los alrededores, pero me temo que hoy las cosas no han ido muy bien, así que vamos a tener que pasar de la visita guiada.
gardenfinished_3                                 Necesito que me ayudes a poner en funcionamiento algunos lugares infectados más. El lugar de Contención es una especie de mundo central. Por favor, vete a ese lugar y te explicaré más cuando te hayas conectado.


# ================================================
# Containment field
# ================================================

containment_primary_1                            Tenemos que comenzar a reconstruir la población darwiniana. Las Incubadoras son la clave.
containment_primary_2                            Limpia la infección vírica que hay fuera del área protegida, y después utiliza a los Ingenieros para recoger las almas de los Virus muertos y llevarlas a las Incubadoras.
containment_primary_3                            Hay tres Incubadoras esparcidas por este lugar que transformarán en darwinianos las almas enemigas que has recogido.
containment_primary_4                            Asciende a Oficiales a algunos darwinianos, y utilízalos para escoltar a los restantes de forma que regresen sanos y salvos al interior del área protegida.
containment_primary_5                            Quiero que rescates al menos a 150 darwinianos de este modo, basta con que estén en el lado seguro. Estarán seguros en el interior del área protegida, por ahora.

containment_intro1                               Cuando se produjo el brote vírico, tuve muchos problemas para tenerlo bajo control.
containment_intro1b                              No tuve otra elección que cerrar el sistema de compuertas de los Puertos Troncales que conecta cada lugar de Darwinia.
containment_intro2                               Éste es el único lugar en el que pude resistir frente al Virus. El escudo doble de este lugar funciona como una barrera fantástica.
containment_intro3                               He señalado los tres Puertos Troncales deshabilitados de la isla, y tendrás que abrirlos todos.
containment_intro3b                              Una vez estén abiertos, nos darán acceso a varios lugares que serán importantes más adelante.
containment_rescuedw1                            De verdad, aquí viene la parte importante. Estos seres son los darwinianos.
containment_rescuedw1b                           He pasado la mayor parte de la última década criando a esta gente, y estoy muy orgulloso de ellos.
containment_rescuedw2                            Si el virus se hubiera salido con la suya, todos estarían ya muertos. Pero he conseguido salvar a unos pocos.
containment_rescuedw2b                           Ha habido más de diez mil generaciones de darwinianos, y tan sólo la pérdida de la investigación en inteligencia artificial hubiera sido inimaginable.
